source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
M1403+5324,14:03:24,,+53:24:05,2019-09-13,08:10:25,2019-09-13,19:40:25,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M0155+3130,01:55:19,,+31:30:45,2019-09-13,20:00:25,2019-09-14,07:30:25,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2332+3130,23:32:36,,+31:30:45,2019-09-14,17:44:52,2019-09-15,05:14:52,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1435+5550,14:35:00,,+55:50:00,2019-09-15,08:49:35,2019-09-15,20:19:35,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M0209+3622,02:09:01,,+36:22:36,2019-09-15,20:31:19,2019-09-16,08:01:19,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1305+5815,13:05:51,,+58:15:56,2019-09-19,06:56:40,2019-09-19,18:26:40,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M0155+3356,01:55:19,,+33:56:40,2019-09-19,19:46:40,2019-09-20,07:16:40,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2345+3130,23:45:35,,+31:30:45,2019-09-20,17:25:18,2019-09-21,04:55:18,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1454+5550,14:54:12,,+55:50:00,2019-09-21,08:30:06,2019-09-21,20:00:06,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0218+3848,02:18:10,,+38:48:32,2019-09-21,20:11:41,2019-09-22,07:41:41,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2240+3130,22:40:43,,+31:30:45,2019-09-22,16:31:24,2019-09-23,04:01:24,30,T,compound,0,-,300,1280,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
